model,calibration_n,analysis_n,effect_sigma,w_over_sigma,trials,timing_shared_width_sigma,timing_local_width_sigma,false_admission,missed_effect,coverage,decision_coverage,floor_predictive_coverage,refusal,equiv_admission,equiv_refusal,component_dominance,joint12_dominance,median_r,median_guarded_floor_sigma
gaussian,8,10,5.0,0.5,30,0.0,0.5,,0.4083333333333333,0.7722222222222223,0.9361111111111111,0.9972222222222222,0.4083333333333333,0.0,0.775,0.008333333333333333,0.0,1.4452801654368086,4.576805476608101
gaussian,8,30,0.0,0.5,30,0.0,0.5,0.0,,0.5777777777777777,0.8972222222222223,1.0,1.0,0.16111111111111112,0.8388888888888889,0.002777777777777778,0.0,1.4256647450575624,4.71258814784945
gaussian,8,30,2.0,0.5,30,0.0,0.5,,1.0,0.35,0.7472222222222222,0.9972222222222222,1.0,0.16666666666666666,0.8305555555555556,0.0,0.0,1.4150147183642896,4.860303762034885
gaussian,8,30,5.0,0.5,30,0.0,0.5,,0.35833333333333334,0.6972222222222222,0.9916666666666667,1.0,0.35833333333333334,0.0,0.7555555555555555,0.011111111111111112,0.0,1.4629990582125274,4.508039518754222
gaussian,8,10,0.0,1.0,30,0.0,1.0,0.0,,0.7222222222222222,0.9916666666666667,1.0,1.0,0.0,1.0,0.33611111111111114,0.0,1.904934986661516,6.219574319468568
gaussian,8,10,2.0,1.0,30,0.0,1.0,,1.0,0.7527777777777778,0.9916666666666667,1.0,1.0,0.0,1.0,0.3472222222222222,0.0,1.9194337791364418,6.134359359128338
gaussian,8,10,5.0,1.0,30,0.0,1.0,,0.9027777777777778,0.7305555555555555,0.9944444444444445,1.0,0.9027777777777778,0.0,1.0,0.3388888888888889,0.0,1.8918112262309232,6.227555772773094
gaussian,8,30,0.0,1.0,30,0.0,1.0,0.0,,0.5055555555555555,0.9944444444444445,1.0,1.0,0.0,1.0,0.37777777777777777,0.0,1.9039838165353227,6.1760615296513945
gaussian,8,30,2.0,1.0,30,0.0,1.0,,1.0,0.3888888888888889,0.9638888888888889,1.0,1.0,0.0,1.0,0.3111111111111111,0.0,1.8778141280917051,6.302747376410824
gaussian,8,30,5.0,1.0,30,0.0,1.0,,0.9333333333333333,0.40555555555555556,0.9805555555555555,1.0,0.9333333333333333,0.0,1.0,0.2777777777777778,0.0,1.8938563697099233,6.264110644567841
gaussian,8,10,0.0,2.0,30,0.0,2.0,0.0,,0.7083333333333334,1.0,1.0,1.0,0.0,1.0,0.9972222222222222,0.9666666666666667,2.842089772061938,9.368264212505172
gaussian,8,10,2.0,2.0,30,0.0,2.0,,1.0,0.7694444444444445,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.83774527890624,9.313419401450288
gaussian,8,10,5.0,2.0,30,0.0,2.0,,1.0,0.7444444444444445,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.837045613776299,9.36379119383454
gaussian,8,30,0.0,2.0,30,0.0,2.0,0.0,,0.5944444444444444,1.0,1.0,1.0,0.0,1.0,0.9972222222222222,0.9666666666666667,2.92333297860761,9.214525036151034
gaussian,8,30,2.0,2.0,30,0.0,2.0,,1.0,0.7111111111111111,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.9587440126156457,9.226097327792512
gaussian,8,30,5.0,2.0,30,0.0,2.0,,1.0,0.36944444444444446,1.0,1.0,1.0,0.0,1.0,0.9972222222222222,0.9666666666666667,2.8062585779244444,9.443627383797025
heavy_t3,5,10,0.0,0.5,30,0.0,0.5,0.0,,0.6916666666666667,0.9638888888888889,0.9944444444444445,1.0,0.016666666666666666,0.9833333333333333,0.17222222222222222,0.0,1.6067531235178891,6.230539640055115
heavy_t3,5,10,2.0,0.5,30,0.0,0.5,,1.0,0.7083333333333334,0.9444444444444444,0.9916666666666667,1.0,0.022222222222222223,0.9777777777777777,0.14166666666666666,0.0,1.621406394664609,6.196700030713664
heavy_t3,5,10,5.0,0.5,30,0.0,0.5,,0.8166666666666667,0.7138888888888889,0.9444444444444444,1.0,0.8166666666666667,0.0,0.9694444444444444,0.16666666666666666,0.0,1.618532933867947,6.16867348877497
heavy_t3,5,30,0.0,0.5,30,0.0,0.5,0.0,,0.4083333333333333,0.9416666666666667,1.0,1.0,0.022222222222222223,0.9777777777777777,0.12222222222222222,0.0,1.591326249276602,6.392592771969907
heavy_t3,5,30,2.0,0.5,30,0.0,0.5,,1.0,0.4861111111111111,0.9083333333333333,0.9972222222222222,1.0,0.025,0.975,0.15555555555555556,0.0,1.6184399835831467,6.2595620393029385
heavy_t3,5,30,5.0,0.5,30,0.0,0.5,,0.8,0.5777777777777777,0.8916666666666667,0.9944444444444445,0.8,0.0,0.9722222222222222,0.15,0.0,1.6546966049608491,6.087535687188898
heavy_t3,5,10,0.0,1.0,30,0.0,1.0,0.0,,0.6666666666666666,0.9888888888888889,0.9972222222222222,1.0,0.0,1.0,0.6638888888888889,0.0,2.235624557444531,8.916044491009824
heavy_t3,5,10,2.0,1.0,30,0.0,1.0,,1.0,0.7027777777777777,0.9972222222222222,1.0,1.0,0.0,1.0,0.7027777777777777,0.03333333333333333,2.235892516149206,8.807156770493748
heavy_t3,5,10,5.0,1.0,30,0.0,1.0,,1.0,0.6277777777777778,0.9944444444444445,1.0,1.0,0.0,1.0,0.6527777777777778,0.0,2.188499667301242,8.93225987765625
heavy_t3,5,30,0.0,1.0,30,0.0,1.0,0.0,,0.49444444444444446,0.9833333333333333,1.0,1.0,0.0,1.0,0.6722222222222223,0.03333333333333333,2.30016504580305,8.754102509448682
heavy_t3,5,30,2.0,1.0,30,0.0,1.0,,1.0,0.3388888888888889,0.9833333333333333,1.0,1.0,0.0,1.0,0.6888888888888889,0.0,2.264763750680868,8.827112578353056
heavy_t3,5,30,5.0,1.0,30,0.0,1.0,,1.0,0.31666666666666665,0.9166666666666666,1.0,1.0,0.0,1.0,0.6111111111111112,0.03333333333333333,2.1430761588224776,9.125650558312067
heavy_t3,5,10,0.0,2.0,30,0.0,2.0,0.0,,0.6222222222222222,1.0,1.0,1.0,0.0,1.0,0.9611111111111111,0.5666666666666667,3.619007112226219,13.919209255955705
