run_id,experiment_id,repetition,bundle_tree_sha256,config_sha256,strict_validation,evidence_class,stack_id,hardware_target_id,hardware_model,model_name,model_family,model_revision,quantization_name,quantization_bits,quantization_group_size,workload_name,prompt_text_sha256,runtime_output_tokens,token_count_source,runtime_stop_reason,output_policy,gross_energy_j,energy_request_j,energy_output_token_j,ttft_s,throughput_tokens_s,cooldown_cap_hit,boundary_label,telemetry_backend,bundle_path
example-mac-mlx-local__r1,example-mac-mlx-local,1,ec05d3d2c2bd262cb3488c887e4a561ef6c70d6271058f3fb0c0e823e38699cc,ee80585a2f6cee6aa7e12eb83c318fd88a934be02d5fa2fb2eb7509630640fd5,passed (strict; legacy allowlist),legacy_l1_manual_review_pre_2m,LEGACY-M3MAX-QWEN25-1P5B-MLX,macbook_m3_max,"Mac15,9",Qwen2.5-1.5B-Instruct-4bit,qwen2.5,8b403126fc14f14cfc99bb4cfa72ecbc129ea677,int4,4,unknown,smoke_short_prompt_medium_decode,04f988796f6c4d84622d7c2663633542976a97a27f9214a61ca117b09608d637,512,outputs/tokens.jsonl,unknown,unknown,47.98629614493172,40.651390505883796,,0.09460115432739258,257.4271626024232,false,Apple SoC CPU + GPU + ANE package power,powermetrics,runs/example-mac-mlx-local__r1
example-mac-mlx-local__r2,example-mac-mlx-local,2,1ffe1ec76e3022bac5bd651b261a044d0865a1d5877c165aa45f96018ff0e1ca,08144a7be4a10d887babbd5fcd1a93f391c1db2d11c63d3131afad80b59cb373,passed (strict; legacy allowlist),legacy_l1_manual_review_pre_2m,LEGACY-M3MAX-QWEN25-1P5B-MLX,macbook_m3_max,"Mac15,9",Qwen2.5-1.5B-Instruct-4bit,qwen2.5,8b403126fc14f14cfc99bb4cfa72ecbc129ea677,int4,4,unknown,smoke_short_prompt_medium_decode,04f988796f6c4d84622d7c2663633542976a97a27f9214a61ca117b09608d637,512,outputs/tokens.jsonl,unknown,unknown,47.03667631632333,46.31701654002997,,0.0949399471282959,257.6077204931951,true,Apple SoC CPU + GPU + ANE package power,powermetrics,runs/example-mac-mlx-local__r2
example-mac-mlx-local__r3,example-mac-mlx-local,3,36d3b109ac3a2e88b27434361ccb5b85c84d653b4cb7fabf25b3e222506f57ef,fe75fc3bafe0af7485fdf98b70ac3d07ccc1db502230bf1b180b94689ab54652,passed (strict; legacy allowlist),legacy_l1_manual_review_pre_2m,LEGACY-M3MAX-QWEN25-1P5B-MLX,macbook_m3_max,"Mac15,9",Qwen2.5-1.5B-Instruct-4bit,qwen2.5,8b403126fc14f14cfc99bb4cfa72ecbc129ea677,int4,4,unknown,smoke_short_prompt_medium_decode,04f988796f6c4d84622d7c2663633542976a97a27f9214a61ca117b09608d637,512,outputs/tokens.jsonl,unknown,unknown,46.63829801542533,46.309333376402556,,0.0927741527557373,257.2201125021665,false,Apple SoC CPU + GPU + ANE package power,powermetrics,runs/example-mac-mlx-local__r3
example-mac-mlx-qwen35-122b-512t__r1,example-mac-mlx-qwen35-122b-512t,1,9be1c5df4bb566fbe057735bac5377d6826828f0061f11fee2b48cd74f982ff4,74761e420520e0d6d979be7d3d08aa6ff7e0f5f8ac8e48109d3dedc08d8d0b7a,passed (strict; legacy allowlist),legacy_l1_manual_review_pre_2m,LEGACY-M3MAX-QWEN35-122B-A10B-MLX,macbook_m3_max,"Mac15,9",Qwen3.5-122B-A10B-4bit,qwen3.5,e9c67b08899964be5fdd069bb1b4bc8907fe68f5,int4,4,64,smoke_short_prompt_medium_decode,04f988796f6c4d84622d7c2663633542976a97a27f9214a61ca117b09608d637,512,outputs/tokens.jsonl,unknown,unknown,303.5348361749604,299.27523049207525,,0.2648038864135742,46.34432426935755,false,Apple SoC CPU + GPU + ANE package power,powermetrics,runs/example-mac-mlx-qwen35-122b-512t__r1
example-mac-mlx-qwen35-122b-512t__r2,example-mac-mlx-qwen35-122b-512t,2,f9f5896c8edf8b8dc1fd56dee977f5a5b7b4d5a04cc76b1405c865d817f9e279,8808632f0235b412d30563747283c397ad534edb711e4cec784712182cbe3b60,passed (strict; legacy allowlist),legacy_l1_manual_review_pre_2m,LEGACY-M3MAX-QWEN35-122B-A10B-MLX,macbook_m3_max,"Mac15,9",Qwen3.5-122B-A10B-4bit,qwen3.5,e9c67b08899964be5fdd069bb1b4bc8907fe68f5,int4,4,64,smoke_short_prompt_medium_decode,04f988796f6c4d84622d7c2663633542976a97a27f9214a61ca117b09608d637,512,outputs/tokens.jsonl,unknown,unknown,303.46926236623204,298.69673038563093,,0.27527284622192383,46.08526261267208,false,Apple SoC CPU + GPU + ANE package power,powermetrics,runs/example-mac-mlx-qwen35-122b-512t__r2
example-mac-mlx-qwen35-122b-512t__r3,example-mac-mlx-qwen35-122b-512t,3,b029e14b53a085f74653857a62194ed50a47d63e4bc49d15238ec77ff94cc2b5,8be8dd955219a8631c8e37a1b3467f368f37624d07acebd2d52924137dff69f4,passed (strict; legacy allowlist),legacy_l1_manual_review_pre_2m,LEGACY-M3MAX-QWEN35-122B-A10B-MLX,macbook_m3_max,"Mac15,9",Qwen3.5-122B-A10B-4bit,qwen3.5,e9c67b08899964be5fdd069bb1b4bc8907fe68f5,int4,4,64,smoke_short_prompt_medium_decode,04f988796f6c4d84622d7c2663633542976a97a27f9214a61ca117b09608d637,512,outputs/tokens.jsonl,unknown,unknown,305.0560678020925,298.08998844931847,,0.2749776840209961,46.03016339385604,false,Apple SoC CPU + GPU + ANE package power,powermetrics,runs/example-mac-mlx-qwen35-122b-512t__r3
