stack_id,hardware_unit,os_version,runtime_version,kernel_library,model_artifact_hash,quantization,tokenizer_identity,sampler_output_policy,batching_concurrency_policy,measurement_boundary,telemetry_backend
LEGACY-M3MAX-QWEN25-15B-MLX,"macbook_m3_max (Mac15,9); physical unit id: unknown (legacy bundle)",macOS (kern.osversion 24G720 recorded in bundle metadata),MLX 0.31.2 / mlx-lm 0.31.3 (from adapter prepare metadata),unknown (legacy bundle),"unavailable (not captured); repo revision 8b403126fc14f14cfc99bb4cfa72ecbc129ea677 (revision, not a byte hash)","int4 (bits=4, group_size=unknown (legacy bundle))",unknown (legacy bundle); prompt source/BOS handling: unavailable (not captured),unknown (legacy bundle),unknown (legacy bundle),Apple SoC CPU + GPU + ANE package power,powermetrics
LEGACY-M3MAX-QWEN35-122B-A10B-MLX,"macbook_m3_max (Mac15,9); physical unit id: unknown (legacy bundle)",macOS (kern.osversion 24G720 recorded in bundle metadata),MLX 0.31.2 / mlx-lm 0.31.3 (from adapter prepare metadata),unknown (legacy bundle),"unavailable (not captured); repo revision e9c67b08899964be5fdd069bb1b4bc8907fe68f5 (revision, not a byte hash)","int4 (bits=4, group_size=64)",unknown (legacy bundle); prompt source/BOS handling: unavailable (not captured),unknown (legacy bundle),unknown (legacy bundle),Apple SoC CPU + GPU + ANE package power,powermetrics
