stack_id,model_display_name,n,gross_j_request_mean,gross_j_request_sd,gross_j_request_min_max,idlesub_j_request_mean,idlesub_j_request_sd,idlesub_j_request_min_max,idlesub_mj_output_token_mean,idlesub_mj_output_token_sd,idlesub_mj_output_token_min_max,throughput_tokens_s_mean,ttft_ms_mean,boundary,evidence_label,quality_waiver
LEGACY-M3MAX-QWEN25-15B-MLX,Qwen2.5-1.5B-Instruct-4bit,3,47.2,0.7,46.6–48.0,44.4,3.3,40.7–46.3,86.8,6.4,79.4–90.5,257.4,94.1,Apple SoC CPU + GPU + ANE package power,legacy L1 (manual review; pre-2M),cooldown cap hit recorded before r2; point retained and reported (legacy manual-review carve-out)
LEGACY-M3MAX-QWEN35-122B-A10B-MLX,Qwen3.5-122B-A10B-4bit,3,304.0,0.9,303.5–305.1,298.7,0.6,298.1–299.3,583.4,1.2,582.2–584.5,46.2,271.7,Apple SoC CPU + GPU + ANE package power,legacy L1 (manual review; pre-2M),none
